"We can't find products matching the selection." => "Chúng tôi không tìm thấy sản phẩm phù hợp với lựa chọn."
"New" => "Mới"
"Sale" => "Khuyến mãi"
"Add to Wish List" => "Thêm vào Danh sách Ưa thích"
"Add to Compare" => "Thêm để So sánh"
"Add to Cart" => "Thêm vào Giỏ hàng"
"In stock" => "Còn hàng"
"Out of stock" => "Hết hàng"
"Learn More" => "Tìm hiểu thêm"
"Related Products" => "Sản phẩm liên quan"
"We found other products you might like!" => "Chúng tôi đã tìm thấy các sản phẩm khác bạn có thể thích!"
"More Choices:" => "Lựa chọn khác:"
"New Products" => "Sản phẩm mới"
"Check items to add to the cart or" => "Chọn các mục để thêm vào giỏ hàng hoặc"
"select all" => "Chọn tất cả"
"Qty" => "Số lượng"
"Email" => "Email"
"Now Shopping by" => "Đang mua hàng bởi"
"Previous" => "Trước đó"
"Remove" => "Xóa"
"Remove This Item" => "Xóa mục này"
"Shop By" => "Mua theo"
"Clear All" => "Xóa tất cả"
"Shopping Options" => "Tùy chọn mua sắm"
"Sign Up for Our Newsletter:" => "Đăng ký nhận tin tức từ chúng tôi:"
"Enter your email address" => "Nhập địa chỉ email của bạn"
"Subscribe" => "Đăng ký"
"Recently Ordered" => "Đã đặt hàng gần đây"
"Last Ordered Items" => "Các mặt hàng đã đặt hàng cuối cùng"
"View All" => "Xem tất cả"
"Home" => "Trang chủ"
"QUICK LINKs" => "Liên kết NHANH"
"Terms & Conditions" => "Điều khoản & Điều kiện"
"Privacy Policies" => "Chính sách bảo mật"
"Delivery - Return - Warranty" => "Giao hàng - Trả hàng - Bảo hành"
"Payment Methods" => "Phương thức thanh toán"
"Loyalty Program" => "Chương trình khách hàng thân thiết"
"COMPANY" => "CÔNG TY"
"About us" => "Về chúng tôi"
"FAQs" => "Câu hỏi thường gặp"
"Follow us" => "Theo dõi chúng tôi"
"Our Mobile Apps" => "Ứng dụng di động của chúng tôi"
"CÔNG TY TNHH ĐIỆN TỬ SHARP VIỆT NAM" => "CÔNG TY TNHH ĐIỆN TỬ SHARP VIỆT NAM"
" Địa chỉ:" => " Địa chỉ:"
" Email:" => " Email:"
" MST: " => " MST: "
"Free Delivery" => "Giao hàng miễn phí"
"For all orders over 1,000,000đ" => "Cho tất cả đơn đặt hàng trên 1.000.000đ"
"Authentic Products" => "Sản phẩm chính hãng"
"Legitimate origin" => "Xuất xứ hợp pháp"
"Secure Payment" => "Thanh toán an toàn"
"100% secure payment" => "Thanh toán 100% an toàn"
"24/7 Support" => "Hỗ trợ 24/7"
"Dedicated support" => "Hỗ trợ chuyên nghiệp"
"Deals Of The Day" => "Ưu đãi trong ngày"
"News" => "Tin tức"
"Review Product" => "Xem sản phẩm"
"Tips & Tricks" => "Mẹo & Thủ thuật"
"Promotions" => "Khuyến mãi"
"How To Make A Fresh Juice Blended For Your Family?" => "Cách làm nước ép tươi cho gia đình của bạn?"
"Organic" => "Hữu cơ"
"Fresh Eggs Caroline In Australia Villages" => "Trứng tươi Caroline tại các làng ở Úc"
"Discover Fresh Organic Farms In Switzerland Villages" => "Khám phá các trang trại hữu cơ tươi ở các làng ở Thụy Sĩ"
"B&O Play - Best Headphone For You" => "B&O Play - Tai nghe tốt nhất cho bạn"
"Your Recently Viewed Products" => "Các sản phẩm bạn đã xem gần đây"
"Top Categories Of The Month" => "Các danh mục hàng đầu trong tháng"
"TV Televisions" => "TV Televisions"
"Smart TV " => "TV Thông minh"
"4K Ultra HD TVs" => "TV 4K Ultra HD"
"LED TVs" => "TV LED"
"OLED TVs" => "TV OLED"
"Accessories" => "Phụ kiện"
"Personal Care" => "Chăm sóc cá nhân"
"Face mask" => "Mặt nạ"
"Face shield" => "Kính mặt"
"Small Appliances" => "Thiết bị nhỏ"
"Microwave oven" => "Lò vi sóng"
"Air Fryer" => "Nồi chiên không dầu"
"Rice cooker" => "Nồi cơm điện"
"Kettle" => "Ấm đun nước"
"Jar pot" => "Bình đun nước"
"Consumer Goods" => "Hàng tiêu dùng"
"Washing and" => "Máy giặt và"
"Cleanser" => "Chất tẩy rửa"
"Home care" => "Chăm sóc nhà cửa"
"Hygienic car" => "Ô tô vệ sinh"
"Insect treatment" => "Xử lý côn trùng"
"Food & Drink" => "Thực phẩm & Đồ uống"
"Fruit" => "Trái cây"
"Confectionary" => "Bánh kẹo"
"Beverage" => "Đồ uống"
"Seasoning" => "Gia vị"
"Dietary Supplement" => "Bổ sung dinh dưỡng"
"Search" => "Tìm kiếm"
"Search entire store here..." => "Tìm kiếm toàn cửa hàng ở đây..."
"Welcome to %store_name" => "Chào mừng bạn đến %store_name"
"%name," => "%name,"
"Welcome to %store_name." => "Chào mừng bạn đến %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:" => "Để đăng nhập vào trang web của chúng tôi, sử dụng các thông tin đăng nhập này khi thanh toán hoặc trên trang <a href=""%customer_url"">Tài khoản của tôi</a>:"
"Email:" => "Email:"
"Password:" => "Mật khẩu:"
"Password you set when creating account" => "Mật khẩu bạn đã đặt khi tạo tài khoản"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it." => "Quên mật khẩu tài khoản? Nhấn vào <a href=""%reset_url"">đây</a> để đặt lại."
"When you sign in to your account, you will be able to:" => "Khi bạn đăng nhập vào tài khoản của mình, bạn sẽ có thể:"
"Quick Checkout" => "Thanh toán nhanh chóng"
"Proceed through checkout faster" => "Tiến hành thanh toán nhanh chóng hơn"
"Order Status" => "Trạng thái đơn hàng"
"Check the status of orders" => "Kiểm tra trạng thái đơn hàng"
"Manage Addresses" => "Quản lý địa chỉ"
"Store alternative addresses" => "Lưu trữ các địa chỉ thay thế"
"For shipping to multiple family members and friends" => "Cho việc giao hàng đến nhiều thành viên gia đình và bạn bè"
"Order History" => "Lịch sử đơn hàng"
"View past orders" => "Xem các đơn hàng trước đó"
"Footer" => "Chân trang"
"<a href=%url_about_us>About Us</a>" => "<a href=%url_about_us>Về chúng tôi</a>"
"<a href=url_customer_service>Customer Service</a>" => "<a href=url_customer_service>Dịch vụ khách hàng</a>"
"<a href=""tel:%store_phone"">%store_phone</a>" => "<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>." => "Giờ hoạt động:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order" => "Biên lai tín dụng cho đơn hàng từ %store_name của bạn"
"Thank you for your order from %store_name." => "Cảm ơn bạn đã đặt hàng từ %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>." => "Bạn có thể kiểm tra trạng thái đơn hàng bằng cách <a href=""%account_url"">đăng nhập vào tài khoản của bạn</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>." => "Nếu bạn có câu hỏi về đơn hàng của bạn, bạn có thể gửi email cho chúng tôi tại <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id" => "Biên lai tín dụng #%creditmemo_id cho Đơn hàng #%order_id của bạn"
"Billing Info" => "Thông tin thanh toán"
"Shipping Info" => "Thông tin giao hàng"
"Payment Method" => "Phương thức thanh toán"
"Shipping Method" => "Phương thức giao hàng"
"Update to your %store_name credit memo" => "Cập nhật vào biên lai tín dụng của %store_name của bạn"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>." => "Đơn hàng #%increment_id của bạn đã được cập nhật với trạng thái <strong>%order_status</strong>."
"Invoice for your %store_name order" => "Hóa đơn cho đơn hàng từ %store_name của bạn"
"Your Invoice #%invoice_id for Order #%order_id" => "Hóa đơn #%invoice_id cho Đơn hàng #%order_id của bạn"
"Update to your %store_name invoice" => "Cập nhật vào hóa đơn %store_name của bạn"
"Your %store_name order confirmation" => "Xác nhận đơn hàng từ %store_name của bạn"
"%customer_name," => "%customer_name,"
"Once your package ships we will send you a tracking number." => "Khi gói hàng của bạn được vận chuyển, chúng tôi sẽ gửi cho bạn số theo dõi."
"Your Order <span class=""no-link"">#%increment_id</span>" => "Đơn hàng của bạn <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>" => "Đặt hàng vào <span class=""no-link"">%created_at</span>"
"Update to your %store_name order" => "Cập nhật đến đơn hàng %store_name của bạn"
"Your %store_name order has shipped" => "Đơn hàng %store_name của bạn đã được vận chuyển"
"Your shipping confirmation is below. Thank you again for your business." => "Thông tin xác nhận giao hàng của bạn dưới đây. Cảm ơn bạn đã ủng hộ chúng tôi."
"Your Shipment #%shipment_id for Order #%order_id" => "Giao hàng #%shipment_id cho Đơn hàng #%order_id của bạn"
"Update to your %store_name shipment" => "Cập nhật đến giao hàng %store_name của bạn"
"Account Dashboard" => "Trang tổng quan tài khoản"
"Address Book" => "Sổ địa chỉ"
"Account Information" => "Thông tin tài khoản"
